class_base_key,class_title_base,organizer_studio_key,actual_location_key,movement_type,location_evidence_text,location_evidence_status,location_evidence_match_type,location_match_score_hint
마이트리연희스페셜꽁샘과도전하는에카파다라자카포타,[마이트리|연희스페셜] 꽁샘과 도전하는 에카파다라자카포타,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리연희스페셜독서와요가,[마이트리|연희스페셜] 독서와 요가,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리연희스페셜올레벨빈야사,[마이트리|연희스페셜] 올레벨 빈야사,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리테라피,[마이트리] 테라피,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리하타,[마이트리] 하타,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리하타베이직,[마이트리] 하타베이직,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리하타집중,[마이트리] 하타 집중,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마인드플로우느긋하고자유로운흐름움직임명상,"[마인드플로우] 느긋하고 자유로운 흐름, 움직임 명상",마인드플로우,마인드플로우,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,100
마인드플로우비기너요가,[마인드플로우] 비기너요가,마인드플로우,마인드플로우,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,100
마인드플로우빈야사요가,[마인드플로우] 빈야사요가,마인드플로우,마인드플로우,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,100
마인드플로우연희스페셜몸으로하는선셋자애명상,[마인드플로우|연희스페셜] 몸으로 하는 선셋 자애 명상,마인드플로우,마인드플로우,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,100
마인드플로우움직임명상,[마인드플로우] 움직임명상,마인드플로우,마인드플로우,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,100
마인드플로우차근차근기본을다지는비기너요가,[마인드플로우] 차근차근 기본을 다지는 비기너 요가,마인드플로우,마인드플로우,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,100
마인드플로우하타요가,[마인드플로우] 하타요가,마인드플로우,마인드플로우,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,100
무릉티마인드풀니스세션,[무릉] 티마인드풀니스 세션,무릉,무릉,studio_or_indoor,📍 장소 서울 서대문구 연희로11마길 23,matched_from_class_detail,address,100
비전스트롤콜라보옥상요가커피와요가,[비전스트롤 콜라보|옥상요가] 커피와 요가,비전스트롤 콜라보,비전스트롤 콜라보,special_venue,📍 장소 연희로11가길 24 건물 옥상,matched_from_class_detail,address_without_city,100
빅블루요가연희스페셜정렬인텐시브견갑골집중,[빅블루요가|연희스페셜] 정렬 인텐시브: 견갑골 집중,빅블루요가,빅블루요가,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,100
빅블루요가연희스페셜정렬인텐시브고관절집중,[빅블루요가|연희스페셜] 정렬 인텐시브: 고관절 집중,빅블루요가,빅블루요가,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,100
빅블루요가연희스페셜호흡어드밴스숨의리듬익히기,[빅블루요가|연희스페셜] 호흡어드밴스 : 숨의 리듬 익히기,빅블루요가,빅블루요가,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,100
빅블루요가정렬에센스,[빅블루요가] 정렬 에센스,빅블루요가,빅블루요가,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,100
빅블루요가호흡리커버리,[빅블루요가] 호흡 리커버리,빅블루요가,빅블루요가,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,100
빅블루요가후굴의정렬,[빅블루요가] 후굴의 정렬,빅블루요가,빅블루요가,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,100
숨명상센터마음의평온을찾는호흡명상,[숨 명상센터]마음의 평온을 찾는 호흡명상,숨명상센터,숨명상센터,studio_or_indoor,장소 서울시 서대문구 연희동 16-2 2층.,matched_from_class_detail,address_without_city,100
숨명상센터몸을깨우는액티브명상,[숨명상센터] 몸을 깨우는 액티브 명상,숨명상센터,숨명상센터,studio_or_indoor,📍 장소 서울시 서대문구 연희동 16-2 2층.,matched_from_class_detail,address_without_city,100
숨명상센터숙면을위한바디스캔,[숨명상센터] 숙면을 위한 바디스캔,숨명상센터,숨명상센터,studio_or_indoor,📍 장소 서울시 서대문구 연희동 16-2 2층.,matched_from_class_detail,address_without_city,100
숨명상센터안산트레킹오감명상,[숨명상센터] 안산 트레킹 오감 명상,숨명상센터,숨명상센터,mobile_outdoor,📍 장소 숨 명상센터(연희동 16-2 2층),matched_from_class_detail,address_without_city,100
숨명상센터향과소리로깨우는오감명상,[숨명상센터] 향과 소리로 깨우는 오감명상,숨명상센터,숨명상센터,studio_or_indoor,📍 장소 서울시 서대문구 연희동 16-2 2층.,matched_from_class_detail,address_without_city,100
시이작깨어나는빈야사,[시이작] 깨어나는 빈야사,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작깨어나는하타,[시이작] 깨어나는 하타,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작다독이는인요가,[시이작] 다독이는 인요가,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작땀나는빈야사,[시이작] 땀나는 빈야사,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작땀나는아쉬탕가,[시이작] 땀나는 아쉬탕가,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작땀나는하타,[시이작] 땀나는 하타,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작숨쉬는테라피,[시이작] 숨쉬는 테라피,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작아쉬탕가풀프라이머리,[시이작] 아쉬탕가 풀프라이머리,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작어린이날키즈요가나는무엇이든될수있다동물요가5세8세,[시이작|어린이날 키즈요가] 나는 무엇이든 될 수 있다! 동물요가(5세~8세),시이작,시이작,studio_or_indoor,장소-서울 서대문구 연희로11나길5 2층 시이작 수업취소- 시작 시간 24시간 전까지 가능,matched_from_class_detail,address,100
시이작연희스페셜tci기질검사로나를이해하고긍정감자키링만들기,"[시이작|연희스페셜]TCI 기질검사로 나를 이해하고, ‘긍정감자’ 키링 만들기",시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작연희스페셜러닝으로이어지는명상with프라우카,[시이작|연희스페셜] 러닝으로 이어지는 명상 with 프라우카,시이작,시이작,mobile_outdoor,집합 장소 시이작 요가원 (연희로 11나길5 2층) 진행 방식 • 가벼운 호흡 정렬 및 몸 깨우기 • 5–7km 라이트 러닝 (초보자 가능 페이스) • 마무리 호흡 및 간단한 정리,matched_from_class_detail,address_without_city,100
시이작연희스페셜마인드풀러닝breathflow움직이는명상,[시이작|연희스페셜] 마인드풀 러닝 Breath & Flow: 움직이는 명상,시이작,시이작,mobile_outdoor,장소: 연희로11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작초급빈야사,[시이작] 초급 빈야사,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
시이작테라피쉬운요가,[시이작] 테라피 쉬운 요가,시이작,시이작,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,100
연남장커뮤니티허브being감각을깨우는하타요가,[연남장|커뮤니티허브] Being 감각을 깨우는 하타요가,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브forrestyoga의움직임을기반으로내몸의바른사용법찾아가기,[연남장|커뮤니티허브]Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브딥어웨이크하타,[연남장|커뮤니티허브] 딥어웨이크 하타,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브마인드풀니스테라피요가아카샤은채,[연남장|커뮤니티허브] 마인드풀니스 테라피 요가 (아카샤(은채)),연남장,연남장,special_venue,,fallback_to_title_location,fallback_source_studio,
연남장커뮤니티허브매트필라테스로부상없는몸만들기,[연남장|커뮤니티허브] 매트 필라테스로 부상 없는 몸 만들기,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브무료요가음악디제잉파티,[연남장|커뮤니티허브] (무료) 요가음악 디제잉 파티,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브바람과땀그리고알아차림봄날의역동적명상,"[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상",연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브부담없이시작하는파트너서킷트레이닝,[연남장|커뮤니티허브] 부담없이 시작하는 파트너 서킷 트레이닝,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브비트박스공연과호흡소리로몰입하는요가,[연남장|커뮤니티허브] 비트박스 공연과 호흡소리로 몰입하는 요가,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브숨비소리사운드리추얼,[연남장|커뮤니티허브]숨비소리 사운드 리추얼,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브짠짠막걸리요가with복순도가,[연남장|커뮤니티허브] 짠짠! 막걸리요가! with 복순도가,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브차근차근몸을깨우는하타요가,[연남장|커뮤니티허브] 차근 차근 몸을 깨우는 하타요가,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브처음이라좋은아쉬탕가with베지어트,[연남장|커뮤니티허브]처음이라 좋은 아쉬탕가 with 베지어트,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브하루를내려놓는요가와바이올린,[연남장|커뮤니티허브] 하루를 내려놓는 요가와 바이올린,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장커뮤니티허브헤드폰으로몰입하는사일런트핸드팬명상with칼레트,[연남장|커뮤니티허브] 헤드폰으로 몰입하는 사일런트 핸드팬 명상 with 칼레트,연남장,연남장,special_venue,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연남장호흡으로몰입하는아쉬탕가,[연남장] 호흡으로 몰입하는 아쉬탕가,연남장,연남장,studio_or_indoor,📍 장소 서울특별시 서대문구 연희로5길 22 연남장,matched_from_class_detail,address,100
연희정음랜드마크명상흐름의슬로우빈야사,[연희정음|랜드마크] 명상 흐름의 슬로우 빈야사,연희정음,연희정음,special_venue,📍 장소 서울특별시 서대문구 연희동 189-2,matched_from_class_detail,address,100
연희정음랜드마크무릉엠비언트콘서트무릉숨비소리,[연희정음|랜드마크] 무릉 엠비언트 콘서트 - 무릉 숨비소리,연희정음,연희정음,special_venue,📍 장소 서울특별시 서대문구 연희동 189-2,matched_from_class_detail,address,100
연희정음랜드마크봄햇살아래나른한힐링요가,[연희정음|랜드마크] 봄햇살 아래 나른한 힐링요가,연희정음,연희정음,special_venue,📍 장소 서울특별시 서대문구 연희동 189-2,matched_from_class_detail,address,100
연희정음랜드마크부드럽게비기너요가,[연희정음|랜드마크] 부드럽게 비기너요가,연희정음,연희정음,special_venue,📍 장소 서울특별시 서대문구 연희동 189-2,matched_from_class_detail,address,100
연희정음랜드마크빅블루의호흡회복요가,[연희정음|랜드마크] 빅블루의 호흡 회복 요가,연희정음,연희정음,special_venue,📍 장소 서울특별시 서대문구 연희동 189-2,matched_from_class_detail,address,100
연희정음랜드마크예술명상콘서트피아노기타연주와그림감상을하며마음에스며드는명상콘서트,"[연희정음|랜드마크]예술 명상 콘서트-피아노 기타 연주와 그림 감상을 하며, 마음에 스며드는 명상 콘서트",연희정음,연희정음,special_venue,📍 장소 서울특별시 서대문구 연희동 189-2 / 연희정음 3층,matched_from_class_detail,address,100
연희정음랜드마크인요가와저널링with프라우카,[연희정음|랜드마크]인요가와 저널링 with 프라우카,연희정음,연희정음,special_venue,📍 장소 서울특별시 서대문구 연희동 189-2,matched_from_class_detail,address,100
연희정음랜드마크핸드팬에잠기는저녁요가명상with칼레트,[연희정음|랜드마크] 핸드팬에 잠기는 저녁 요가 명상 with 칼레트,연희정음,연희정음,special_venue,📍 장소 서울특별시 서대문구 연희동 189-2,matched_from_class_detail,address,100
연희정음핸드팬사운드스케이프일렁,[연희정음] 핸드팬 사운드스케이프 '일렁',연희정음,연희정음,studio_or_indoor,,no_location_section,fallback_source_studio,
